nameid,pid,language,attested,romanized,summary,association_certainty,name_type,transcription_accuracy,transcription_completeness,details,slug,creators,contributors
1,1004,ar,خليج البنادقة,Khalig al-bunadiqa,,,,,,Literal translation: Venetian Gulf,,vvitale,
2,1004,ar,البحر الأدرياتيكي,Al-bachr al-Adriyatiki,,,,,,,,vvitale,
3,1004,ar-Latn,Baḥr Adriyās,,,,,,,,,vvitale,
4,1043,ar,البحر الرومي,Al-bachr ar-rumi,,,,,,Literal translation: Roman Sea,,vvitale,
5,1043,ar,البحرالشامي,Al-bachr ash-shami,,,,,,Literal translation: Syrian Sea,,vvitale,
6,1094,ar,لنبدوشة,Lanbedusha,,,,,,,,vvitale,
7,1224,ar,بحر نيطش,Bachr Nitsh,,,,,,,,vvitale,
8,29713,fa,درياي فارس,Dryai Fars,,,,,,,,vvitale,
9,29802,fa,كرمان,Kirman,,,,,,,,vvitale,
10,39290,ar,بحر القلزم,Bachr al-Qulzum,,,,,,"Literal translation: Sea of Qulzun. It may seem more appropriate to link this name to the Gulf of Suez, but it is translated as ""Red Sea"" in the English version of the original Arabic text.",,vvitale,
11,39290,ar,بحر السويس,Bachr as-Suis,,,,,,"Literal translation: Sea of Suis. It may seem more appropriate to link this name to the Gulf of Suez, but it is translated as ""Red Sea"" in the English version of the original Arabic text.",,vvitale,
12,39290,ar,البحر الأحمر,al-bachr al-Achmar,,,,,,Literal translation: Red Sea,,vvitale,
13,39352,ar,البحر الصيني,Al-bachr as-sini,,,,,,Literal translation: Chinese Sea,,vvitale,
14,39352,ar,البحرالهندي,Al-bachr al-hindi,,,,,,Literal translation: Indian Sea,,vvitale,
15,39352,ar,البحر الحبشي,Al-bachr al-chabishi,,,,,,Literal translation: Abyssinian Sea,,vvitale,
16,118569,ar,إنكلاية,Inkilaiya,,,,,,,,vvitale,
17,236361,ar,أيلة,Aila,,,,,,,,vvitale,
18,236361,ar,آبلة,Abila,,,,,,,,vvitale,
19,236577,ar,سمورة,Samura,,,,,,,,vvitale,
20,236642,ar,سلمنكة,Salamanka,,,,,,,,vvitale,
21,236642,ar,سالامانكا,Salamanka,,,,,,,,vvitale,
22,236642,ar-Latn,S̲h̲alamanḳa,,,,,,,,,vvitale,
23,236642,ar-Latn,S̲h̲alamantiḳa,,,,,,,,,vvitale,
24,236658,ar,شقونية,Shiquniya,,,,,,,,vvitale,
25,236658,ar,شقوبية,Shiqubiya,,,,,,,,vvitale,
26,236658,ar-Latn,S̲h̲aḳūbiya,,,,,,,,,vvitale,
27,246294,ar,قرقشونة,Qarqashuna,,,,,,,,vvitale,
28,246343,ar,برشلونة,,,,,,,,,vvitale,
29,246343,ar-Latn,Bars̲h̲alūna,,,,,,,,,vvitale,
30,246343,ar-Latn,Bars̲h̲inūna,,,,,,,,,vvitale,
31,246343,ar-Latn,Bard̲j̲alūna,,,,,,,,,vvitale,
32,246344,ar,سرقسطية,Saraqustiya,,,,,,,,vvitale,
33,246347,ar,أربونة,Arbuna,,,,,,,,vvitale,
34,246347,ar-Latn,Arbūna,,,,,,,,,vvitale,
35,246406,ar,خريدة,Khrida,,,,,,,,vvitale,
36,246406,ar,جرندة,Girinda,,,,,,,,vvitale,
37,246539,ar,و شقة,Uishqa,,,,,,,,vvitale,
38,246539,ar-Latn,Was̲h̲ḳa,,,,,,,,,vvitale,
39,246567,ar,بنبلونة,Banbluna,,,,,,,,vvitale,
40,246694,ar,طلوشة,Tulusha,,,,,,,,vvitale,
41,246694,ar,تولوز,Tuluz,,,,,,,,vvitale,
42,256128,ar,قرطب,Qurtuba,,,,,,,,vvitale,
43,256235,ar,طريفة,Tarifa,,,,,,,,vvitale,
44,256235,ar-Latn,Ṭarīfa,,,,,,,,,vvitale,
45,256235,ar,طريفا,Tarifa,,,,,,,,vvitale,
46,265954,ar-Latn,Medina Laqant,,,,,,,,,vvitale,
47,265954,ar,مدنة ألَلَقَنْت,Madinatu-Laqant,,,,,,,,vvitale,
48,265954,ar,أليكانته,Alikantih,,,,,,,,vvitale,
49,265954,ar-Latn,Laḳant,,,,,,,,,vvitale,
50,265954,ar,أليكانتي,Alikanti,,,,,,,,vvitale,
51,265963,ar,مالقة,Malaqa,,,,,,,,vvitale,
52,275736,ar,طنجة,Tangia,,,,,,,,vvitale,
53,275736,grc,Τιγγίς,Tingis,,,,,,,,vvitale,
54,275736,Latin,Colonia Iulia Claudia Tingitana,,,,,,,,,vvitale,
55,324822,ar,اسفاقس,Asfaqs,,,,,,,,vvitale,
56,344383,ar,جربة,Girba,,,,,,,,vvitale,
57,363959,ar,سرت,Surt,,,,,,,,vvitale,
58,373750,ar,برقة,Barqa,,,,,,,,vvitale,
59,373750,ar-Latn,Barḳa,,,,,,,,,vvitale,
60,373750,grc,Βάρκη,Barke,,,,,,,,vvitale,
61,373750,ar,بَركي,Barki,,,,,,,,vvitale,
62,373750,ar,"المرج ,المرج القديمة","al-Mardj, al-Mardj al-Qadima",,,,,,,,vvitale,
63,373750,ar-Latn,al-Mard̲j̲,,,,,,,,,vvitale,
64,373750,ar-Latn,"Marj, Al Marj",,,,,,,,,vvitale,
65,383664,ar,جنوة,Ginua,,,,,,,,vvitale,
66,403253,ar,بيش,Bish,,,,,,,,vvitale,
67,432670,ar,ملف,Malf,,,,,,,,vvitale,
68,433014,ar,نبل,Nabal,,,,,,,,vvitale,
69,442509,ar,بذرنت,Badhrant,,,,,,,,vvitale,
70,442615,ar,اذرنت,Adhrant,,,,,,,,vvitale,
71,442615,ar,ادرنت,Adrant,,,,,,,,vvitale,
72,452317,ar,قطرونة,Qutruna,,,,,,,,vvitale,
73,452416,ar,ريو,Riu,,,,,,,,vvitale,
74,462086,ar,جرجنت,Girgent,,,,,,,,vvitale,
75,462086,ar,كركنت,Kirkent,,,,,,,,vvitale,
76,462086,ar-Latn,D̲j̲ird̲j̲ent,,,,,,,,,vvitale,
77,462123,ar,قلعة القارونية,Qala،a al-Qaruniya,,,,,,Litearal translation: Fortress of Qarunia,,vvitale,
78,462186,ar,جزيرة دنديموا,Giazira Dundimu,,,,,,,,vvitale,
79,462199,ar,جزيرة ركونية,Giazira Rikuniya,,,,,,,,vvitale,
80,462199,ar,اركوذة,Arkudha,,,,,,,,vvitale,
81,462199,ar,انكوذه,Ankudah,,,,,,,,vvitale,
82,462270,ar,قطانية,Qataniya,,,,,,,,vvitale,
83,462270,ar,كتانية,Kataniya,,,,,,,,vvitale,
84,462279,ar,لنتنى,Lintina,,,,,,,,vvitale,
85,462378,ar,موذقة,Mudhiqa,,,,,,,,vvitale,
86,462378,ar,موديكا,Mudika,,,,,,,,vvitale,
87,462492,ar,صقلية,Siqiliya,,,,,,,,vvitale,
88,462492,ar,جزيرة صقلية,Giazira Siqiliya,,,,,,Literal translation: Island Siqiliya,,vvitale,
89,462492,ar-Latn,Ṣiḳilliya,,,,,,,,,vvitale,
90,462503,ar,سرقوسة,Siraqusa,,,,,,"In the Tabula Rogeriana, the letter ق is actually written without the two identificative dots.",,vvitale,
91,462503,ar-Latn,Siraḳūsa,,,,,,,,,vvitale,
92,472014,ar,سردانية,Sardaniya,,,,,,,,vvitale,
93,472014,ar,جزيرة سردانية,Giazira Sardaniya,,,,,,Literal translation: Island Sardaniya,,vvitale,
94,472014,ar-Latn,Sardāniya,,,,,,,,,vvitale,
95,472063,ar,قرشقة,Qurshiqa,,,,,,,,vvitale,
96,491585,ar,الرها,Ar-Raha,,,,,,,,vvitale,
97,511337,ar,نقمودية,Niqumudiya,,,,,,,,vvitale,
98,511384,ar,بورصة,Bursa,,,,,,,,vvitale,
99,511384,tr,Burusa,,,,,,,,,vvitale,
100,520998,ar,القسطنطينية,al-Qustantiniya,,,,,,,,vvitale,
101,520998,ar,اسطنبول,Istanbul,,,,,,,,vvitale,
102,520998,ar,قسطنطينية,Qustantiniya,,,,,,"The use of the word ""Rum"" to designate someone or something coming from Costantinopolis, is often attested in the Muqaddimah as well",,vvitale,
103,520998,ar-Latn,Rūmiyya al- kubrā,,,,,,,,,vvitale,
104,520998,ar-Latn,Būlin,,,,,,,,,vvitale,
105,520998,ar-Latn,Stanbūlin,,,,,,,,,vvitale,
106,589748,ar,أقريطش,Eqritish,,,,,,,,vvitale,
107,590031,ar,جزيرة ردوس,Giazira Rudus,,,,,,literal translation: Island of Rudus,,vvitale,
108,609302,ar,عمورية,amuriya,,,,,,,,vvitale,
109,629040,ar,ملاطية,Malatiya,,,,,,,,vvitale,
110,638778,ar,انطكية,Antakiya,,,,,,,,vvitale,
111,648548,ar,اذنة,Adhana,,,,,,,,vvitale,
112,648548,ar,اضنة,Adhana,,,,,,,,vvitale,
113,648748,ar,نهر سيحان,Nahr Saichan,,,,,,,,vvitale,
114,648789,ar,طارسوس,Tarsus,,,,,,,,vvitale,
115,658378,ar,عين زربة,Ain Zarba,,,,,,,,vvitale,
116,658538,ar,مصيصة,Masisa,,,,,,,,vvitale,
117,658587,ar,سميساط,Samisat,,,,,,,,vvitale,
118,668318,ar,الرقة,Ar-Raqa,,,,,,,,vvitale,
119,668318,ar,الرافضة ,Ar-Rafidha,,,,,,"According to Wikiepdia, ""Between 771 and 772, the Abbasid caliph al-Mansur built a garrison city about 200 metres to the west of al-Raqqah for a detachment of his Khorasanian Persian army. It was named al-Rāfiqah, ""the companion"". The strength of the Abbasid imperial military is still visible in the impressive city wall of al-Rāfiqah. Al-Raqqah and al-Rāfiqah merged into one urban complex, together larger than the former Umayyad capital Damascus."" They are still recorded as separate entities in the Muqaddimah ",,vvitale,
120,677992,ar,سلوقية,Siluqiya,,,,,,,,vvitale,
121,678060,ar,بيروت,Bayrut,,,,,,,,vvitale,
122,707498,ar,قبرص,Qubras,,,,,,,,vvitale,
123,727070,ar,الاسكندرية,Al-Iskandariya,,,,,,,,vvitale,
124,727070,ar,الإسكندرية,Al-Iskandariya,,,,,,,,vvitale,
125,727070,arz,اسكندرية‎‎,Iskandariya,,,,,,,,vvitale,
126,727192,ar,الفرما,Al-Farama,,,,,,,,vvitale,
127,727235,ar,دمياط,Damiat,,,,,,,,vvitale,
128,874298,ar,امد,Amid,,,,,,,,vvitale,
129,874298,ar,آمد,Amid,,,,,,,,vvitale,
130,874350,ar,بلاد الأرمن,Bilad al-Armin,,,,,,,,vvitale,
131,874350,ar,أرمينيا,Arminia,,,,,,,,vvitale,
132,874350,ar-Latn,Armīniya,,,,,,,,,vvitale,
133,874373,ar,قالقلة,Qaliqala,,,,,,,,vvitale,
134,874438,ar,بدليس,Bidlis,,,,,,,,vvitale,
135,874609,ar,الموصل,Al-Musul,,,,,,,,vvitale,
136,874623,ar,نصيبين,Nisibisin,,,,,,,,vvitale,
137,884130,ar,بحر الخزر,Bachr al-Khazar,,,,,,,,vvitale,
138,884130,ar,بحر قزوين,Bachr Qazuin,,,,,,,,vvitale,
139,884130,fa,درياي خزر,Dryai Khazr,,,,,,,,vvitale,
140,893952,ar,بغداد,Baghdad,,,,,,,,vvitale,
141,894082,ar,القادسية,Al-Qadisiya,,,,,,,,vvitale,
142,894099,ar,تكريت,Tikrit,,,,,,,,vvitale,
143,903036,ar,قم,Qum,,,,,,,,vvitale,
144,912800,ar,الحيرة,Al-Chira,,,,,,,,vvitale,
145,912849,ar,نهر الفرات,Nahr al-Frat,,,,,,Literal translation: River al-Frat,,vvitale,
146,912964,ar,نهر دجلة,Nahr Digla,,,,,,Literal translation: River Digla,,vvitale,
147,430344981,ar,تبريز,Tabriz,,,,,,,,vvitale,
148,583407059,ar,جلولاء,Galula,,,,,,,,vvitale,
149,583407059,ar,نهر ديالى,Nahr Dyala,,,,,,,,vvitale,
150,632227173,ar,ميورقة,Mayurqa,,,,,,,,vvitale,
151,818739154,ar,البنادقة,Al-Bunadiqiya,,,,,,,,vvitale,
152,818739154,ar,البندقية,Al-Bunduqiya,,,,,,,,vvitale,
153,890432541,ar,قاشان,Qashan,,,,,,,,vvitale,
154,890432541,ar,كاشان,Kashan,,,,,,,,vvitale,
155,890432541,ar-Latn,Kās̲h̲ān,,,,,,,,,vvitale,
156,275696,ar,الرباط,Ar-Rabat,,,,,,,,vvitale,
157,902990,ar,إصفهان,Isfahan,,,,,,,,vvitale,
158,902990,fa,اصفهان,Esfahan,,,,,,,,vvitale,
159,922706,fa,شیراز,Shiraz,,,,,,,,vvitale,
160,29762,fa,سیراف‎‎,Siraf,,,,,,,,vvitale,
161,29762,ar-Latn,Sīrāf,,,,,,,,,vvitale,
162,912808,ar,الكوفة,Al-Kufa,,,,,,,,vvitale,
163,668318,ar,الرقة,Ar-Raqqa,,,,,,,,vvitale,
164,912808,ar-Latn,al- Kūfa,,,,,,,,,vvitale,
165,668318,ar-Latn,al-Raḳḳa,,,,,,,,,vvitale,
166,658587,ar,سميساط,Samisat,,,,,,,,vvitale,
167,658409,fa,حلب,Chalib,,,,,,,,vvitale,
168,658409,ar-Latn,Ḥalab,,,,,,,,,vvitale,
169,658474,ar,مرعش,Mar'ash,,,,,,,,vvitale,
170,284472645,ar,مسقط,Masqat,,,,,,,,vvitale,
171,284472645,ar-Latn,Masḳaṭ,,,,,,,,,vvitale,
172,786123,ar,أسوان,Asuan,,,,,,,,vvitale,
173,727082,ar,القاهرة,Al-Qahira,,,,,,,,vvitale,
174,727082,ar,الفسطاط,Al-Fustat,,,,,,,,vvitale,
175,884204,ar,قزوين,Qazuin,,,,,,,,vvitale,
176,884204,ar-Latn,Ḳazwīn,,,,,,,,,vvitale,
177,893976,ar-Latn,al- Madāʾin,,,,,,,,,vvitale,
178,893976,ar,المدائن ,Al-Madain,,,,,,,,vvitale,
179,903021,fa,همدان,Hamadan,,,,,,,,vvitale,
180,736948,ar,الفيوم,Al-Fayium,,,,,,,,vvitale,
181,736948,ar,بيت التمساح,Bait at-Tamsach,,,,,,,,"gbodard, vvitale",
182,814662,ar,تبوك,Tabuk,,,,,,,,vvitale,
183,687928,ar,القدس,Al-Quds,,,,,,,,,
184,29652,ar,مكة,Makka,,,,,,,,,
185,464208930,ar,المدينة,Al-Madina,,,,,,,,,
186,464208930,ar,المدينة المنورة,Al-Madina al-Manura,,,,,,,,,
187,863903,ar,تبليسي,Tblisi,,,,,,,,,
188,863903,ar,تفليس,Tiflis,,,,,,,,,
189,874373,ar,أرضروم,Adana,,,,,,,,,
190,952092,fa,نیشابور‎‎,Nishabur,,,,,,,,,
191,952092,ar,نيسابور,Nisabur,,,,,,,,,
192,59885,ar,کابل,Kabul,,,,,,,,,
193,59885,ar,كابول,Kabul,,,,,,,,,
194,884119,fa,اردبیل,Ardabil,,,,,,,,,
195,884119,ar,أردبيل,Ardabil,,,,,,,,,
196,894013,ar,جلولاء,Gialaula,,,,,,,,,
197,894013,ar,جلولا,Gialaula,,,,,,,,,
198,464208935,ar,الرياض,Ar-Riyad,,,,,,,,,
199,464208935,ar,القرامطة,Al-Qaramata,,,,,,,,,
200,285501,ar,تلمسان‎‎,Tilimsan,,,,,,,,,
201,285501,ber,Tlemsan,,,,,,,,,,
202,285501,ber,Třemsan,,,,,,,,,,
203,912821,ar,البصرة,Al-Basra,,,,,,,,,
204,550893,ar,إزمير,Izmir,,,,,,,,,
205,890432540,ar,كربلاء‎‎,Karbala,,,,,,,,,
206,442241741,ar,بحيرة خوارزم,Buchaira Khuarizmi,,,,,,,,,
207,1224,ar,البحر الآسود,Al-bachr al-Asud,,,,,,,,,
208,1224,ar,بحر بنطش,Bachr Binitsh,,,,,,,,,
209,1224,arz,بحر القسطنطينيه,Bachr al-Qustantiniya,,,,,,,,,
210,884140,ar,الديلم,Ad-Dailam,,,,,,,,,
211,884140,ar,ديلمان,Dailaman,,,,,,,,,
212,678010,ar,عكا,aka,,,,,,,,,
213,236347,ar,سانتياغو,Santiaghu,,,,,,,,,
214,236347,ar,سانتياغو دي كومبوستيلا,Santiaghu di Kumbustila,,,,,,,,,
215,863891,ar,شماخة,Shimakha,,,,,,,,,
216,863891,ar,شاماخي,Shamakhi,,,,,,,,,
217,863891,az,Şamaxı,,,,,,,,,,
218,971854,ar,كوتسا,Kutsha,,,,,,,,,
219,687959,ar,عسقلان,asqalan,,,,,,,,,
220,687959,he,אשקלון,,,,,,,,,,
221,658368,ar,لاجاز,Lagaz,,,,,,,,,
222,658368,it,Laias,,,,,,,,,,
223,658368,en,Lajazzo,,,,,,,,,,
224,501428,ar,إدرنة,Idirna,,,,,,,,,
225,501428,ar,أدرنة,Adirna,,,,,,,,,
226,668305,en,Maraclea,,,,,,,,,,
227,668305,en,Khrab Marqiya,,,,,,,,,,
228,668305,ar,مرقلية,,,,,,,,,,
229,668305,ar,قلعة المرقب,,,,,,,,,,
230,678393,ar,صيدا,,,,,,,,,,
231,678393,tr,Sayda,,,,,,,,,,
232,678404,ar,يافا,Yiafa,,,,,,,,,
233,678404,ar,حيفا,Chaifa,,,,,,,,,
234,678404,he,חיפה,Hefa,,,,,,,,,
235,658371,ar,اسكندرونة,Iskandruna,,,,,,,,,
236,658371,ar,الإسكندرون‎‎,Al-Iskandrun,,,,,,,,,
237,658371,tr,İskenderun,,,,,,,,,,
238,707587,ar,ليماسول,Limasul,,,,,,,,,
239,668182,ar,حماة,Chama,,,,,,,,,
240,668182,ar,حماه,Chamah,,,,,,,,,
241,668182,he,חמה,,,,,,,,,,
242,638778,ar,أنطاليا,Antaliya,,,,,,,,,
243,678059,ar,صفد‎‎,Safad,,,,,,,,,
244,678059,he,צפת,Tsfat,,,,,,,,,
245,678299,ar,الناصرة‎‎,An-Nasira,,,,,,,,,
246,678299,he,נצרת,Naṣrat,,,,,,,,,
247,687856,ar,بيت لحم,Bait Lachm,,,,,,,,,
248,687856,he,בית לחם,Bet ˈleχem,,,,,,,,,
249,687915,ar,الخليل,Al-Khalil,,,,,,,,,
250,903102,fa,کرمانشاه,Kirmanshah,,,,,,,,,
251,944396034,fa,مراغه‎‎,Maraghah,,,,,,,,,
252,944396034,ar,مراغة,Maragha,,,,,,,,,
253,944396034,ar,المراغة,Al-Maragha,,,,,,,,,
254,434655355,ar,الحلة‎‎,Al-Chila,,,,,,,,,
255,798093,ar,إبريم,Ibrim,,,,,,,,,
256,737080,ar,المنيا‎‎,Al-Miniya,,,,,,,,,
257,265848,ar,قرطاجنة‎‎,Qartagina,,,,,,,,,
258,265946,ar,الحمراء,Al-chamra,,,,,,,,,
259,265946,ar,قصر الحمراء,Qasr al-chamra,,,,,,,,,
260,256503,ar,أشونة,Ushuna,,,,,,,,,
261,256503,ar,أوشونة,Ushuna,,,,,,,,,
262,265876,ar,قنصغر,Qunsighr,,,,,,,,,
263,236713,ar,قسطرطراف,Qastruturaf,,,,,,,,,
264,256446,ar,سربا,Sirba,,,,,,,,,
265,256446,ar,صربا,Sirba,,,,,,,,,
266,256234,ar,مارتلة,Martula,,,,,,,,,
267,256234,ar,ميرتلة,Mirtula,,,,,,,,,
268,256040,xaa,شطوبر ,Shatubar,,,,,,,,,
269,256040,ar,شتوبلة ,Shatubala,,,,,,,,,
270,256040,ar,سيتوبال,Situbal,,,,,,,,,
271,256151,ar,إيبورة,Ibura,,,,,,,,,
272,256448,es,Setefilla,,,,,,,,,,
273,256448,ar,اصطفيلة,Astafila,,,,,,,,,
274,266035,ar,ثيثا,Thiyatha,,,,,,,,,
275,266035,ar,شييزا,Shiza,,,,,,,,,
276,97875560,ar,جدة,Gida,,,,,,,,,
277,39303,ar,أقشوم,Aqshum,,,,,,,,,
278,39303,am,አክሱም,Aksum,,,,,,,,,
279,39269,ar,عدن,adan,,,,,,,,,
280,825389,ar,ستافروبول,Stafrubul,,,,,,,,,
281,857060,ar,باطوم,Batum,,,,,,,,,
282,857060,ar,باطومي,Batumi,,,,,,,,,
283,857060,ka,ბათუმი,,,,,,,,,,
284,452317,ar,,Kutruna,,,,,,,,,
285,393480,ar,,Rabina,,,,,,,,,
286,393379,ar,,Ariminus,,,,,,,,,
