Place_name,place_name_language,Region,TIR,coord_lat,coord_long,coordinate origins,PleiadesID,Other Name,Era
Ajjur,Arabic,Judaea,,31.6911,34.9239,GeoHack,,Agur,
Baidarus,,Golan,2189-2764,276400,218900,,,,
Beit Yerah,Hebrew,Galilee,,32.717958,35.571864,GeoHack,,Khirbet al-Karak,
Ben Shemen,Hebrew,Coastal Plain,,31° 57′ 14.4″ N,34° 55′ 29.64″ E,GeoNames,,,
Bethennim,Hebrew,Judaea,162107,31.565,35.1288,,,,
Butmiyye,Arabic,Golan,2328-2615,261500,232800,,,,
Capernaum,,Galilee,204254,32.881111,35.575,GeoHack,,Kfar Nahum,
Dabiyye,Arabic,Golan,218268,33° 0' 29'' N,35° 43' 44'' E,GeoNames,,Dabiyah,
Dareya,Arabic,Syria,,33° 27′ 0″ N,36° 15′ 0″ E,GeoNames,,,
Ein Nashot,Hebrew,Golan,2151-2687,33.012934,35.691436,Google Earth,,Horvat Ein Nashut,
Ein Semsem,Hebrew,Golan,216270,33° 1' 30'' N,35° 42' 8'' E,GeoNames,,Ayn as Simsim; 'Ain Semsem,
El-Al,Arabic,Golan,220245,32° 48' 10'' N,35° 44' 42'' E,GeoNames,,Al `Al; Al ‘Āl; Nahal Al,
El-Bireh,Arabic,Golan,2234-2662,33.63,35.78,GeoHack; GeoNames,,Al-Bireh; Birra,
El-Kursi,Arabic,Golan,211248,32° 49' 31'' N,35° 38' 44'' E,GeoNames,,,
El-'Uyun,Arabic,Golan,2129-2360,32° 43' 2'' N,35° 40' 1'' E,GeoNames,,Al ‘Uyūn; Khirbat Aayoûn,
Elusa,,Negev,116056,31.097,34.652,GeoHack,,Al-Khalasa; Haluza,
En Avdat,Hebrew,Negev,127026,30° 49' 34'' N,34° 45' 44'' E,GeoNames,,`Ein el Mureifij,
Er-Ram,Arabic,Judaea (?),172140,31° 50' 58'' N,35° 14' 3'' E,GeoNames,,Rama; Ar Ram wa Dahiyat al Barid,
Fakhem,Arabic,Galilee,2279-2638,,,,,,
Farj,Arabic,Golan,228262,32° 57' 27'' N,35° 49' 57'' E,GeoNames,,Al-Faraj,
Fiq,Arabic,Syria,216242,32° 47' 40'' N,35° 43' 30'' E,GeoNames,,,
Givat Seled,Hebrew,Judaea,143118,31° 39' 45'' N,34° 55' 57'' E,GeoNames,,,
Hafar,Hebrew,Golan,214277,33° 5' 40'' N,35° 41' 19'' E,GeoNames,,,
Hammath Tiberias,Hebrew,Galilee,201241,32.7685,35.5485,GeoHack,,,
Hammatha,,Galilee,212232,32° 40' 59'' N,35° 39' 55'' E,GeoNames,,Hammat Gader; el Hamme,
Hizmeh,,Judaea,175138,31° 50' 0'' N,35° 15' 47'' E,GeoNames,,Hizmah,
Horvat Alim,Hebrew,Judaea,140115,,,,,,
Horvat Raqiq,Hebrew,Negev,,"31°17'43.1"" N","34°41'57.8"" E",GeoNames,,,
Huldah,Hebrew,Judaea,140136,31° 49' 54'' N,34° 52' 56'' E,GeoNames,,,
Huqoq,Hebrew,Galilee,195254,32° 53′ 5″ N,35° 28′ 44″ E,GeoHack,,Yaquq; Horvat Huqoq,
Isawiyya,Arabic,Judaea,173134,31.7986,35.2483,GeoHack,,,
Jisr Ghajar,Arabic,Syria,,33° 14' 32'' N,35° 37' 29'' E,GeoNames,,,
Jurniyye,Arabic,Golan,2283-2555,32° 53' 12'' N,35° 44' 7'' E,GeoNames,,Jurnāyā,
Kafr Harib,Arabic,Golan,212240,32° 45' 26'' N,35° 39' 35'' E,GeoNames,,,
Kafr El-Ma,Arabic,Golan,227246,32° 48' 40'' N,35° 49' 5'' E,GeoNames,,,
Kefar Barukh,Hebrew,Golan,,32° 38' 46'' N,35° 11' 26'' E,GeoNames,,,
Kh. Zif,,Judaea,,31° 28' 39'' N,35° 8' 27'' E,GeoNames,,,
Khushniyye,Arabic,Golan,226267,,,,,,
Kibbutz Lahav,Hebrew,Negev,,31.3783,34.8704,GeoHack,,,
Mumsiyye,Arabic,Golan,2279-2760,,,,,,
Narran,,Golan,2147-2706,33° 1' 43'' N,35° 41' 19'' E,GeoNames,,Na`ran; Naarane,
Qiryat Tiv'on,Hebrew,Galilee,,32° 42' 58'' N,35° 7' 29'' E,GeoNames,,,
Rafid,,Golan,209262,33° 0' 5'' N,35° 38' 31'' E,GeoNames,,Ar Rafid,
Ramsaniyye,Arabic,Golan,2256-2696,,,,,,
Rasm el-Khayakath,Arabic,Golan,2223-2550,,,,,,
Rehovot in the Negev,English,Negev,108048,31° 1' 47'' N,34° 33' 54'' E,GeoNames,,El Raheiba; Er Ruheibe; Horbat Rehovot,
Rujm Zaki,Arabic,Golan,217246,32° 48' 43'' N,35° 42' 54'' E,GeoNames,,Ard Zaki; Tell ez Zakiye,
Squffiye,Arabic,Golan,2147-2452,32° 48' 6'' N,35° 41' 16'' E,GeoNames,,Sukūfiyā,
Sukeik,Arabic,Golan,218286,33° 10' 18'' N,35° 44' 0'' E,GeoNames,,Sukayk,
Tel 'Akasha,,Golan,2315-2718,,,,,,
Tel Qasile,,Coastal Plain,131167,32.1014,34.7941,GeoHack,,Ramat Aviv,
Tel el-Jukhadar,Arabic,Golan,2310-2780,,,,,,
Tel et-Talaya,Arabic,Golan,2252-2654,,,,,,
Uhmm Khaled,Arabic,Coastal Plain,137193,,,,,,
Umm al-Jimal,Arabic,Jordan Valley,150222,32.326667,36.369722,GeoHack,,,
Umm ed-Dananir,Arabic,Golan,,32° 56' 42'' N,35° 49' 11'' E,GeoNames,,Umm Abū ad Danānīr,
Valley of Elah,English,Judaea,,31.6903,34.9521,GeoHack,,Wadi es-Sunt,
Wadi Ibtah,Arabic,Coastal Plain,,31° 44' 28'' N,34° 35' 57'' E,GeoNames,,Nahal Evtah,
Wadi an-Nar,Arabic,Judaea,191120,31° 40' 1'',35° 26' 54'',GeoNames,,,